idx,w1,w2,sd_lf,direction,w1val,w2val,correctAns
1,5,1,0,2,2,1,0
2,6,1,0,2,2,1,0
3,7,1,0,2,2,1,0
4,8,1,0,2,2,1,0
5,5,2,0,2,2,1,0
6,6,2,0,2,2,1,0
7,7,2,0,2,2,1,0
8,8,2,0,2,2,1,0
9,5,3,0,2,2,1,0
10,6,3,0,2,2,1,0
11,7,3,0,2,2,1,0
12,8,3,0,2,2,1,0
13,5,4,0,2,2,1,0
14,6,4,0,2,2,1,0
15,7,4,0,2,2,1,0
16,8,4,0,2,2,1,0
17,1,5,0,2,1,2,1
18,2,5,0,2,1,2,1
19,3,5,0,2,1,2,1
20,4,5,0,2,1,2,1
21,9,5,0,2,3,2,0
22,10,5,0,2,3,2,0
23,11,5,0,2,3,2,0
24,12,5,0,2,3,2,0
25,1,6,0,2,1,2,1
26,2,6,0,2,1,2,1
27,3,6,0,2,1,2,1
28,4,6,0,2,1,2,1
29,9,6,0,2,3,2,0
30,10,6,0,2,3,2,0
31,11,6,0,2,3,2,0
32,12,6,0,2,3,2,0
33,1,7,0,2,1,2,1
34,2,7,0,2,1,2,1
35,3,7,0,2,1,2,1
36,4,7,0,2,1,2,1
37,9,7,0,2,3,2,0
38,10,7,0,2,3,2,0
39,11,7,0,2,3,2,0
40,12,7,0,2,3,2,0
41,1,8,0,2,1,2,1
42,2,8,0,2,1,2,1
43,3,8,0,2,1,2,1
44,4,8,0,2,1,2,1
45,9,8,0,2,3,2,0
46,10,8,0,2,3,2,0
47,11,8,0,2,3,2,0
48,12,8,0,2,3,2,0
49,5,9,0,2,2,3,1
50,6,9,0,2,2,3,1
51,7,9,0,2,2,3,1
52,8,9,0,2,2,3,1
53,13,9,0,2,4,3,0
54,14,9,0,2,4,3,0
55,15,9,0,2,4,3,0
56,16,9,0,2,4,3,0
57,5,10,0,2,2,3,1
58,6,10,0,2,2,3,1
59,7,10,0,2,2,3,1
60,8,10,0,2,2,3,1
61,13,10,0,2,4,3,0
62,14,10,0,2,4,3,0
63,15,10,0,2,4,3,0
64,16,10,0,2,4,3,0
65,5,11,0,2,2,3,1
66,6,11,0,2,2,3,1
67,7,11,0,2,2,3,1
68,8,11,0,2,2,3,1
69,13,11,0,2,4,3,0
70,14,11,0,2,4,3,0
71,15,11,0,2,4,3,0
72,16,11,0,2,4,3,0
73,5,12,0,2,2,3,1
74,6,12,0,2,2,3,1
75,7,12,0,2,2,3,1
76,8,12,0,2,2,3,1
77,13,12,0,2,4,3,0
78,14,12,0,2,4,3,0
79,15,12,0,2,4,3,0
80,16,12,0,2,4,3,0
81,9,13,0,2,3,4,1
82,10,13,0,2,3,4,1
83,11,13,0,2,3,4,1
84,12,13,0,2,3,4,1
85,9,14,0,2,3,4,1
86,10,14,0,2,3,4,1
87,11,14,0,2,3,4,1
88,12,14,0,2,3,4,1
89,9,15,0,2,3,4,1
90,10,15,0,2,3,4,1
91,11,15,0,2,3,4,1
92,12,15,0,2,3,4,1
93,9,16,0,2,3,4,1
94,10,16,0,2,3,4,1
95,11,16,0,2,3,4,1
96,12,16,0,2,3,4,1
1,5,1,0,3,3,4,1
2,6,1,0,3,3,4,1
3,7,1,0,3,3,4,1
4,8,1,0,3,3,4,1
5,5,2,0,3,3,4,1
6,6,2,0,3,3,4,1
7,7,2,0,3,3,4,1
8,8,2,0,3,3,4,1
9,5,3,0,3,3,4,1
10,6,3,0,3,3,4,1
11,7,3,0,3,3,4,1
12,8,3,0,3,3,4,1
13,5,4,0,3,3,4,1
14,6,4,0,3,3,4,1
15,7,4,0,3,3,4,1
16,8,4,0,3,3,4,1
17,1,5,0,3,4,3,0
18,2,5,0,3,4,3,0
19,3,5,0,3,4,3,0
20,4,5,0,3,4,3,0
21,9,5,0,3,2,3,1
22,10,5,0,3,2,3,1
23,11,5,0,3,2,3,1
24,12,5,0,3,2,3,1
25,1,6,0,3,4,3,0
26,2,6,0,3,4,3,0
27,3,6,0,3,4,3,0
28,4,6,0,3,4,3,0
29,9,6,0,3,2,3,1
30,10,6,0,3,2,3,1
31,11,6,0,3,2,3,1
32,12,6,0,3,2,3,1
33,1,7,0,3,4,3,0
34,2,7,0,3,4,3,0
35,3,7,0,3,4,3,0
36,4,7,0,3,4,3,0
37,9,7,0,3,2,3,1
38,10,7,0,3,2,3,1
39,11,7,0,3,2,3,1
40,12,7,0,3,2,3,1
41,1,8,0,3,4,3,0
42,2,8,0,3,4,3,0
43,3,8,0,3,4,3,0
44,4,8,0,3,4,3,0
45,9,8,0,3,2,3,1
46,10,8,0,3,2,3,1
47,11,8,0,3,2,3,1
48,12,8,0,3,2,3,1
49,5,9,0,3,3,2,0
50,6,9,0,3,3,2,0
51,7,9,0,3,3,2,0
52,8,9,0,3,3,2,0
53,13,9,0,3,1,2,1
54,14,9,0,3,1,2,1
55,15,9,0,3,1,2,1
56,16,9,0,3,1,2,1
57,5,10,0,3,3,2,0
58,6,10,0,3,3,2,0
59,7,10,0,3,3,2,0
60,8,10,0,3,3,2,0
61,13,10,0,3,1,2,1
62,14,10,0,3,1,2,1
63,15,10,0,3,1,2,1
64,16,10,0,3,1,2,1
65,5,11,0,3,3,2,0
66,6,11,0,3,3,2,0
67,7,11,0,3,3,2,0
68,8,11,0,3,3,2,0
69,13,11,0,3,1,2,1
70,14,11,0,3,1,2,1
71,15,11,0,3,1,2,1
72,16,11,0,3,1,2,1
73,5,12,0,3,3,2,0
74,6,12,0,3,3,2,0
75,7,12,0,3,3,2,0
76,8,12,0,3,3,2,0
77,13,12,0,3,1,2,1
78,14,12,0,3,1,2,1
79,15,12,0,3,1,2,1
80,16,12,0,3,1,2,1
81,9,13,0,3,2,1,0
82,10,13,0,3,2,1,0
83,11,13,0,3,2,1,0
84,12,13,0,3,2,1,0
85,9,14,0,3,2,1,0
86,10,14,0,3,2,1,0
87,11,14,0,3,2,1,0
88,12,14,0,3,2,1,0
89,9,15,0,3,2,1,0
90,10,15,0,3,2,1,0
91,11,15,0,3,2,1,0
92,12,15,0,3,2,1,0
93,9,16,0,3,2,1,0
94,10,16,0,3,2,1,0
95,11,16,0,3,2,1,0
96,12,16,0,3,2,1,0
