idx,w1,w2,sd_lf,direction,w1val,w2val,correctAns
1,2,1,1,0,2,1,0
2,6,1,1,0,2,1,0
3,10,1,1,0,2,1,0
4,14,1,1,0,2,1,0
5,1,2,1,0,1,2,1
6,3,2,1,0,3,2,0
7,5,2,1,0,1,2,1
8,7,2,1,0,3,2,0
9,9,2,1,0,1,2,1
10,11,2,1,0,3,2,0
11,13,2,1,0,1,2,1
12,15,2,1,0,3,2,0
13,2,3,1,0,2,3,1
14,4,3,1,0,4,3,0
15,6,3,1,0,2,3,1
16,8,3,1,0,4,3,0
17,10,3,1,0,2,3,1
18,12,3,1,0,4,3,0
19,14,3,1,0,2,3,1
20,16,3,1,0,4,3,0
21,3,4,1,0,3,4,1
22,7,4,1,0,3,4,1
23,11,4,1,0,3,4,1
24,15,4,1,0,3,4,1
25,2,5,1,0,2,1,0
26,6,5,1,0,2,1,0
27,10,5,1,0,2,1,0
28,14,5,1,0,2,1,0
29,1,6,1,0,1,2,1
30,3,6,1,0,3,2,0
31,5,6,1,0,1,2,1
32,7,6,1,0,3,2,0
33,9,6,1,0,1,2,1
34,11,6,1,0,3,2,0
35,13,6,1,0,1,2,1
36,15,6,1,0,3,2,0
37,2,7,1,0,2,3,1
38,4,7,1,0,4,3,0
39,6,7,1,0,2,3,1
40,8,7,1,0,4,3,0
41,10,7,1,0,2,3,1
42,12,7,1,0,4,3,0
43,14,7,1,0,2,3,1
44,16,7,1,0,4,3,0
45,3,8,1,0,3,4,1
46,7,8,1,0,3,4,1
47,11,8,1,0,3,4,1
48,15,8,1,0,3,4,1
49,2,9,1,0,2,1,0
50,6,9,1,0,2,1,0
51,10,9,1,0,2,1,0
52,14,9,1,0,2,1,0
53,1,10,1,0,1,2,1
54,3,10,1,0,3,2,0
55,5,10,1,0,1,2,1
56,7,10,1,0,3,2,0
57,9,10,1,0,1,2,1
58,11,10,1,0,3,2,0
59,13,10,1,0,1,2,1
60,15,10,1,0,3,2,0
61,2,11,1,0,2,3,1
62,4,11,1,0,4,3,0
63,6,11,1,0,2,3,1
64,8,11,1,0,4,3,0
65,10,11,1,0,2,3,1
66,12,11,1,0,4,3,0
67,14,11,1,0,2,3,1
68,16,11,1,0,4,3,0
69,3,12,1,0,3,4,1
70,7,12,1,0,3,4,1
71,11,12,1,0,3,4,1
72,15,12,1,0,3,4,1
73,2,13,1,0,2,1,0
74,6,13,1,0,2,1,0
75,10,13,1,0,2,1,0
76,14,13,1,0,2,1,0
77,1,14,1,0,1,2,1
78,3,14,1,0,3,2,0
79,5,14,1,0,1,2,1
80,7,14,1,0,3,2,0
81,9,14,1,0,1,2,1
82,11,14,1,0,3,2,0
83,13,14,1,0,1,2,1
84,15,14,1,0,3,2,0
85,2,15,1,0,2,3,1
86,4,15,1,0,4,3,0
87,6,15,1,0,2,3,1
88,8,15,1,0,4,3,0
89,10,15,1,0,2,3,1
90,12,15,1,0,4,3,0
91,14,15,1,0,2,3,1
92,16,15,1,0,4,3,0
93,3,16,1,0,3,4,1
94,7,16,1,0,3,4,1
95,11,16,1,0,3,4,1
96,15,16,1,0,3,4,1
1,2,1,1,1,3,4,1
2,6,1,1,1,3,4,1
3,10,1,1,1,3,4,1
4,14,1,1,1,3,4,1
5,1,2,1,1,4,3,0
6,3,2,1,1,2,3,1
7,5,2,1,1,4,3,0
8,7,2,1,1,2,3,1
9,9,2,1,1,4,3,0
10,11,2,1,1,2,3,1
11,13,2,1,1,4,3,0
12,15,2,1,1,2,3,1
13,2,3,1,1,3,2,0
14,4,3,1,1,1,2,1
15,6,3,1,1,3,2,0
16,8,3,1,1,1,2,1
17,10,3,1,1,3,2,0
18,12,3,1,1,1,2,1
19,14,3,1,1,3,2,0
20,16,3,1,1,1,2,1
21,3,4,1,1,2,1,0
22,7,4,1,1,2,1,0
23,11,4,1,1,2,1,0
24,15,4,1,1,2,1,0
25,2,5,1,1,3,4,1
26,6,5,1,1,3,4,1
27,10,5,1,1,3,4,1
28,14,5,1,1,3,4,1
29,1,6,1,1,4,3,0
30,3,6,1,1,2,3,1
31,5,6,1,1,4,3,0
32,7,6,1,1,2,3,1
33,9,6,1,1,4,3,0
34,11,6,1,1,2,3,1
35,13,6,1,1,4,3,0
36,15,6,1,1,2,3,1
37,2,7,1,1,3,2,0
38,4,7,1,1,1,2,1
39,6,7,1,1,3,2,0
40,8,7,1,1,1,2,1
41,10,7,1,1,3,2,0
42,12,7,1,1,1,2,1
43,14,7,1,1,3,2,0
44,16,7,1,1,1,2,1
45,3,8,1,1,2,1,0
46,7,8,1,1,2,1,0
47,11,8,1,1,2,1,0
48,15,8,1,1,2,1,0
49,2,9,1,1,3,4,1
50,6,9,1,1,3,4,1
51,10,9,1,1,3,4,1
52,14,9,1,1,3,4,1
53,1,10,1,1,4,3,0
54,3,10,1,1,2,3,1
55,5,10,1,1,4,3,0
56,7,10,1,1,2,3,1
57,9,10,1,1,4,3,0
58,11,10,1,1,2,3,1
59,13,10,1,1,4,3,0
60,15,10,1,1,2,3,1
61,2,11,1,1,3,2,0
62,4,11,1,1,1,2,1
63,6,11,1,1,3,2,0
64,8,11,1,1,1,2,1
65,10,11,1,1,3,2,0
66,12,11,1,1,1,2,1
67,14,11,1,1,3,2,0
68,16,11,1,1,1,2,1
69,3,12,1,1,2,1,0
70,7,12,1,1,2,1,0
71,11,12,1,1,2,1,0
72,15,12,1,1,2,1,0
73,2,13,1,1,3,4,1
74,6,13,1,1,3,4,1
75,10,13,1,1,3,4,1
76,14,13,1,1,3,4,1
77,1,14,1,1,4,3,0
78,3,14,1,1,2,3,1
79,5,14,1,1,4,3,0
80,7,14,1,1,2,3,1
81,9,14,1,1,4,3,0
82,11,14,1,1,2,3,1
83,13,14,1,1,4,3,0
84,15,14,1,1,2,3,1
85,2,15,1,1,3,2,0
86,4,15,1,1,1,2,1
87,6,15,1,1,3,2,0
88,8,15,1,1,1,2,1
89,10,15,1,1,3,2,0
90,12,15,1,1,1,2,1
91,14,15,1,1,3,2,0
92,16,15,1,1,1,2,1
93,3,16,1,1,2,1,0
94,7,16,1,1,2,1,0
95,11,16,1,1,2,1,0
96,15,16,1,1,2,1,0
